freq,unit,isced11,indic_wb,sex,age,geo\TIME_PERIOD	2013 	2014 	2015 
A,RTG,ED0-2,LEGTST,F,Y16-19,EA20	: 	4.8 e	4.9 e
A,RTG,ED0-2,LEGTST,F,Y16-24,AT	6.3 	: 	: 
A,RTG,ED0-2,LEGTST,F,Y16-24,BE	5.2 	: 	: 
A,RTG,ED0-2,LEGTST,F,Y16-24,BG	3.4 	: 	: 
A,RTG,ED0-2,LEGTST,F,Y16-24,CH	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y16-24,CY	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y16-24,CZ	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y16-24,DE	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y16-24,DK	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y16-24,EA20	: 	4.6 e	4.6 e
A,RTG,ED0-2,LEGTST,F,Y16-24,EE	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y16-24,EL	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y16-24,ES	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y16-24,EU	: u	: 	: 
A,RTG,ED0-2,LEGTST,F,Y16-24,EU27_2020	: u	: 	: 
A,RTG,ED0-2,LEGTST,F,Y16-24,EU28	: u	: 	: 
A,RTG,ED0-2,LEGTST,F,Y16-24,FI	7.0 	: 	: 
A,RTG,ED0-2,LEGTST,F,Y16-24,FR	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y16-24,HR	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y16-24,HU	5.0 	: 	: 
A,RTG,ED0-2,LEGTST,F,Y16-24,IE	5.0 u	: 	: 
A,RTG,ED0-2,LEGTST,F,Y16-24,IS	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y16-24,IT	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y16-24,LT	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y16-24,LU	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y16-24,LV	5.1 	: 	: 
A,RTG,ED0-2,LEGTST,F,Y16-24,ME	5.4 	: 	: 
A,RTG,ED0-2,LEGTST,F,Y16-24,MK	5.7 u	: 	: 
A,RTG,ED0-2,LEGTST,F,Y16-24,MT	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y16-24,NL	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y16-24,NO	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y16-24,PL	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y16-24,PT	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y16-24,RO	5.9 	: 	: 
