freq,frequenc,ind_type,isced11,age,sex,unit,geo\TIME_PERIOD	2015 	2022 
A,1M,FAM,ED0-2,TOTAL,F,PC,AT	17.7 	18.2 
A,1M,FAM,ED0-2,TOTAL,F,PC,BE	7.1 	8.4 
A,1M,FAM,ED0-2,TOTAL,F,PC,BG	18.8 	8.3 
A,1M,FAM,ED0-2,TOTAL,F,PC,CH	14.9 	18.4 
A,1M,FAM,ED0-2,TOTAL,F,PC,CY	1.8 	1.4 
A,1M,FAM,ED0-2,TOTAL,F,PC,CZ	11.9 	10.1 
A,1M,FAM,ED0-2,TOTAL,F,PC,DE	12.9 	: u
A,1M,FAM,ED0-2,TOTAL,F,PC,DK	17.0 	19.7 
A,1M,FAM,ED0-2,TOTAL,F,PC,EE	20.9 	20.7 
A,1M,FAM,ED0-2,TOTAL,F,PC,EL	8.3 	7.1 
A,1M,FAM,ED0-2,TOTAL,F,PC,ES	7.7 	10.5 
A,1M,FAM,ED0-2,TOTAL,F,PC,EU27_2020	10.2 	11.1 u
A,1M,FAM,ED0-2,TOTAL,F,PC,FI	10.3 	13.7 
A,1M,FAM,ED0-2,TOTAL,F,PC,FR	7.9 	12.0 
A,1M,FAM,ED0-2,TOTAL,F,PC,HR	13.1 	8.6 
A,1M,FAM,ED0-2,TOTAL,F,PC,HU	14.4 	11.8 
A,1M,FAM,ED0-2,TOTAL,F,PC,IE	9.6 u	14.5 
A,1M,FAM,ED0-2,TOTAL,F,PC,IS	12.9 	: 
A,1M,FAM,ED0-2,TOTAL,F,PC,IT	6.9 	9.0 
A,1M,FAM,ED0-2,TOTAL,F,PC,LT	22.8 	14.9 
A,1M,FAM,ED0-2,TOTAL,F,PC,LU	10.4 	12.4 
A,1M,FAM,ED0-2,TOTAL,F,PC,LV	19.6 	17.8 
A,1M,FAM,ED0-2,TOTAL,F,PC,ME	16.3 	13.5 
A,1M,FAM,ED0-2,TOTAL,F,PC,MK	1.4 	: 
A,1M,FAM,ED0-2,TOTAL,F,PC,MT	5.4 	8.9 
A,1M,FAM,ED0-2,TOTAL,F,PC,NL	9.2 	12.4 
A,1M,FAM,ED0-2,TOTAL,F,PC,NO	13.3 	13.8 
A,1M,FAM,ED0-2,TOTAL,F,PC,PL	22.6 u	17.2 
A,1M,FAM,ED0-2,TOTAL,F,PC,PT	7.0 	7.9 
A,1M,FAM,ED0-2,TOTAL,F,PC,RO	13.6 	11.3 
A,1M,FAM,ED0-2,TOTAL,F,PC,RS	17.1 	15.5 
A,1M,FAM,ED0-2,TOTAL,F,PC,SE	12.4 	16.7 
A,1M,FAM,ED0-2,TOTAL,F,PC,SI	16.9 	19.2 
A,1M,FAM,ED0-2,TOTAL,F,PC,SK	11.2 	11.2 
A,1M,FAM,ED0-2,TOTAL,F,PC,TR	: 	13.7 
A,1M,FAM,ED0-2,TOTAL,F,PC,UK	9.7 u	: 
A,1M,FAM,ED0-2,TOTAL,M,PC,AT	19.0 	21.0 
A,1M,FAM,ED0-2,TOTAL,M,PC,BE	8.5 	11.7 
A,1M,FAM,ED0-2,TOTAL,M,PC,BG	21.2 	7.7 
A,1M,FAM,ED0-2,TOTAL,M,PC,CH	14.8 	19.3 
A,1M,FAM,ED0-2,TOTAL,M,PC,CY	3.5 	1.5 
A,1M,FAM,ED0-2,TOTAL,M,PC,CZ	14.7 	15.5 
A,1M,FAM,ED0-2,TOTAL,M,PC,DE	12.9 	: u
A,1M,FAM,ED0-2,TOTAL,M,PC,DK	19.9 	20.1 
A,1M,FAM,ED0-2,TOTAL,M,PC,EE	23.1 	20.9 
A,1M,FAM,ED0-2,TOTAL,M,PC,EL	9.1 	6.6 
A,1M,FAM,ED0-2,TOTAL,M,PC,ES	8.0 	11.5 
A,1M,FAM,ED0-2,TOTAL,M,PC,EU27_2020	11.0 	12.3 u
A,1M,FAM,ED0-2,TOTAL,M,PC,FI	12.9 	14.3 
A,1M,FAM,ED0-2,TOTAL,M,PC,FR	9.2 	13.9 
A,1M,FAM,ED0-2,TOTAL,M,PC,HR	13.5 	10.5 
A,1M,FAM,ED0-2,TOTAL,M,PC,HU	18.0 	14.5 
A,1M,FAM,ED0-2,TOTAL,M,PC,IE	13.0 u	15.2 
A,1M,FAM,ED0-2,TOTAL,M,PC,IS	17.8 	: 
A,1M,FAM,ED0-2,TOTAL,M,PC,IT	8.7 	9.5 
A,1M,FAM,ED0-2,TOTAL,M,PC,LT	18.9 	15.8 
A,1M,FAM,ED0-2,TOTAL,M,PC,LU	10.6 	7.7 
A,1M,FAM,ED0-2,TOTAL,M,PC,LV	21.2 	21.8 
A,1M,FAM,ED0-2,TOTAL,M,PC,ME	14.0 	15.5 
A,1M,FAM,ED0-2,TOTAL,M,PC,MK	0.8 	: 
A,1M,FAM,ED0-2,TOTAL,M,PC,MT	6.2 	10.7 
A,1M,FAM,ED0-2,TOTAL,M,PC,NL	13.4 	11.8 
A,1M,FAM,ED0-2,TOTAL,M,PC,NO	16.2 	17.1 
A,1M,FAM,ED0-2,TOTAL,M,PC,PL	26.7 u	20.9 
A,1M,FAM,ED0-2,TOTAL,M,PC,PT	8.3 	10.4 
A,1M,FAM,ED0-2,TOTAL,M,PC,RO	13.3 	11.4 
A,1M,FAM,ED0-2,TOTAL,M,PC,RS	16.2 	16.7 
A,1M,FAM,ED0-2,TOTAL,M,PC,SE	15.7 	21.1 
A,1M,FAM,ED0-2,TOTAL,M,PC,SI	19.0 	16.7 
A,1M,FAM,ED0-2,TOTAL,M,PC,SK	10.9 	7.7 
A,1M,FAM,ED0-2,TOTAL,M,PC,TR	: 	13.9 
A,1M,FAM,ED0-2,TOTAL,M,PC,UK	11.4 u	: 
A,1M,FAM,ED0-2,TOTAL,T,PC,AT	18.2 	19.2 
A,1M,FAM,ED0-2,TOTAL,T,PC,BE	7.8 	9.9 
A,1M,FAM,ED0-2,TOTAL,T,PC,BG	19.9 	8.0 
A,1M,FAM,ED0-2,TOTAL,T,PC,CH	14.9 	18.8 
A,1M,FAM,ED0-2,TOTAL,T,PC,CY	2.6 	1.5 
A,1M,FAM,ED0-2,TOTAL,T,PC,CZ	12.9 	12.3 
A,1M,FAM,ED0-2,TOTAL,T,PC,DE	12.9 	: u
A,1M,FAM,ED0-2,TOTAL,T,PC,DK	18.5 	19.9 
A,1M,FAM,ED0-2,TOTAL,T,PC,EE	22.0 	20.8 
A,1M,FAM,ED0-2,TOTAL,T,PC,EL	8.7 	6.8 
A,1M,FAM,ED0-2,TOTAL,T,PC,ES	7.9 	11.0 
A,1M,FAM,ED0-2,TOTAL,T,PC,EU27_2020	10.5 	11.7 u
A,1M,FAM,ED0-2,TOTAL,T,PC,FI	11.7 	14.0 
A,1M,FAM,ED0-2,TOTAL,T,PC,FR	8.4 	12.8 
A,1M,FAM,ED0-2,TOTAL,T,PC,HR	13.2 	9.3 
A,1M,FAM,ED0-2,TOTAL,T,PC,HU	15.8 	12.9 
A,1M,FAM,ED0-2,TOTAL,T,PC,IE	11.3 u	14.9 
A,1M,FAM,ED0-2,TOTAL,T,PC,IS	15.2 	: 
A,1M,FAM,ED0-2,TOTAL,T,PC,IT	7.8 	9.2 
A,1M,FAM,ED0-2,TOTAL,T,PC,LT	21.1 	15.3 
A,1M,FAM,ED0-2,TOTAL,T,PC,LU	10.5 	10.3 
A,1M,FAM,ED0-2,TOTAL,T,PC,LV	20.4 	19.8 
A,1M,FAM,ED0-2,TOTAL,T,PC,ME	15.4 	14.3 
A,1M,FAM,ED0-2,TOTAL,T,PC,MK	1.1 	: 
A,1M,FAM,ED0-2,TOTAL,T,PC,MT	5.8 	9.9 
A,1M,FAM,ED0-2,TOTAL,T,PC,NL	10.9 	12.1 
A,1M,FAM,ED0-2,TOTAL,T,PC,NO	14.7 	15.6 
A,1M,FAM,ED0-2,TOTAL,T,PC,PL	24.1 u	18.8 
A,1M,FAM,ED0-2,TOTAL,T,PC,PT	7.6 	9.1 
A,1M,FAM,ED0-2,TOTAL,T,PC,RO	13.5 	11.4 
A,1M,FAM,ED0-2,TOTAL,T,PC,RS	16.7 	16.0 
A,1M,FAM,ED0-2,TOTAL,T,PC,SE	13.9 	18.9 
A,1M,FAM,ED0-2,TOTAL,T,PC,SI	17.7 	18.2 
A,1M,FAM,ED0-2,TOTAL,T,PC,SK	11.1 	9.8 
A,1M,FAM,ED0-2,TOTAL,T,PC,TR	: 	13.8 
A,1M,FAM,ED0-2,TOTAL,T,PC,UK	10.4 u	: 
A,1M,FAM,ED0-2,Y16-24,F,PC,AT	24.4 	17.2 
A,1M,FAM,ED0-2,Y16-24,F,PC,BE	8.7 	10.0 
A,1M,FAM,ED0-2,Y16-24,F,PC,BG	18.5 	4.1 
A,1M,FAM,ED0-2,Y16-24,F,PC,CH	16.0 	24.6 
A,1M,FAM,ED0-2,Y16-24,F,PC,CY	1.7 	1.3 
A,1M,FAM,ED0-2,Y16-24,F,PC,CZ	10.2 	14.9 
A,1M,FAM,ED0-2,Y16-24,F,PC,DE	12.9 	: u
A,1M,FAM,ED0-2,Y16-24,F,PC,DK	21.8 	13.5 
A,1M,FAM,ED0-2,Y16-24,F,PC,EE	26.0 	28.4 
A,1M,FAM,ED0-2,Y16-24,F,PC,EL	6.7 	16.4 
A,1M,FAM,ED0-2,Y16-24,F,PC,ES	8.6 	10.1 
A,1M,FAM,ED0-2,Y16-24,F,PC,EU27_2007	12.2 e	: 
A,1M,FAM,ED0-2,Y16-24,F,PC,EU27_2020	12.2 	12.9 u
A,1M,FAM,ED0-2,Y16-24,F,PC,EU28	12.2 e	: 
A,1M,FAM,ED0-2,Y16-24,F,PC,FI	12.7 	16.9 
A,1M,FAM,ED0-2,Y16-24,F,PC,FR	10.5 	15.8 
A,1M,FAM,ED0-2,Y16-24,F,PC,HR	15.5 	9.5 
A,1M,FAM,ED0-2,Y16-24,F,PC,HU	15.9 	9.6 
A,1M,FAM,ED0-2,Y16-24,F,PC,IE	11.2 u	15.1 
A,1M,FAM,ED0-2,Y16-24,F,PC,IS	14.4 	: 
A,1M,FAM,ED0-2,Y16-24,F,PC,IT	10.5 	9.4 
A,1M,FAM,ED0-2,Y16-24,F,PC,LT	28.7 	11.8 
A,1M,FAM,ED0-2,Y16-24,F,PC,LU	13.9 	16.2 
A,1M,FAM,ED0-2,Y16-24,F,PC,LV	17.7 	28.8 
A,1M,FAM,ED0-2,Y16-24,F,PC,ME	10.2 	5.6 
A,1M,FAM,ED0-2,Y16-24,F,PC,MK	1.8 	: 
A,1M,FAM,ED0-2,Y16-24,F,PC,MT	4.5 	12.1 u
A,1M,FAM,ED0-2,Y16-24,F,PC,NL	9.7 	13.0 
A,1M,FAM,ED0-2,Y16-24,F,PC,NO	21.7 	17.4 
A,1M,FAM,ED0-2,Y16-24,F,PC,PL	18.1 u	12.9 
A,1M,FAM,ED0-2,Y16-24,F,PC,PT	9.1 	6.5 
A,1M,FAM,ED0-2,Y16-24,F,PC,RO	7.5 	10.1 
A,1M,FAM,ED0-2,Y16-24,F,PC,RS	14.2 	14.4 
A,1M,FAM,ED0-2,Y16-24,F,PC,SE	23.1 	19.4 
A,1M,FAM,ED0-2,Y16-24,F,PC,SI	14.8 	17.3 
A,1M,FAM,ED0-2,Y16-24,F,PC,SK	10.9 	9.1 
A,1M,FAM,ED0-2,Y16-24,F,PC,TR	: 	14.8 
A,1M,FAM,ED0-2,Y16-24,F,PC,UK	9.3 u	: 
A,1M,FAM,ED0-2,Y16-24,M,PC,AT	16.2 	19.9 
A,1M,FAM,ED0-2,Y16-24,M,PC,BE	4.4 	15.9 
A,1M,FAM,ED0-2,Y16-24,M,PC,BG	20.9 	3.6 
A,1M,FAM,ED0-2,Y16-24,M,PC,CH	14.6 	25.4 
A,1M,FAM,ED0-2,Y16-24,M,PC,CY	4.3 	1.5 
A,1M,FAM,ED0-2,Y16-24,M,PC,CZ	17.0 	18.6 
A,1M,FAM,ED0-2,Y16-24,M,PC,DE	11.2 	: u
A,1M,FAM,ED0-2,Y16-24,M,PC,DK	23.2 	24.1 
A,1M,FAM,ED0-2,Y16-24,M,PC,EE	27.2 	26.7 
A,1M,FAM,ED0-2,Y16-24,M,PC,EL	5.0 	9.9 
A,1M,FAM,ED0-2,Y16-24,M,PC,ES	12.3 	10.7 
A,1M,FAM,ED0-2,Y16-24,M,PC,EU27_2007	12.9 e	: 
A,1M,FAM,ED0-2,Y16-24,M,PC,EU27_2020	12.3 	13.6 u
A,1M,FAM,ED0-2,Y16-24,M,PC,EU28	12.9 e	: 
A,1M,FAM,ED0-2,Y16-24,M,PC,FI	17.1 	11.6 
A,1M,FAM,ED0-2,Y16-24,M,PC,FR	11.8 	16.3 
A,1M,FAM,ED0-2,Y16-24,M,PC,HR	11.4 	7.6 
A,1M,FAM,ED0-2,Y16-24,M,PC,HU	19.2 	12.3 
A,1M,FAM,ED0-2,Y16-24,M,PC,IE	11.9 u	18.6 
A,1M,FAM,ED0-2,Y16-24,M,PC,IS	14.9 	: 
A,1M,FAM,ED0-2,Y16-24,M,PC,IT	9.4 	8.4 
A,1M,FAM,ED0-2,Y16-24,M,PC,LT	17.7 	14.5 
A,1M,FAM,ED0-2,Y16-24,M,PC,LU	11.7 	7.1 
A,1M,FAM,ED0-2,Y16-24,M,PC,LV	20.4 	22.0 
A,1M,FAM,ED0-2,Y16-24,M,PC,ME	9.3 	14.7 
A,1M,FAM,ED0-2,Y16-24,M,PC,MK	1.6 	: 
A,1M,FAM,ED0-2,Y16-24,M,PC,MT	7.4 	4.4 
A,1M,FAM,ED0-2,Y16-24,M,PC,NL	9.1 	16.9 
A,1M,FAM,ED0-2,Y16-24,M,PC,NO	15.7 	23.0 
A,1M,FAM,ED0-2,Y16-24,M,PC,PL	23.7 u	14.7 
A,1M,FAM,ED0-2,Y16-24,M,PC,PT	7.9 	11.1 
A,1M,FAM,ED0-2,Y16-24,M,PC,RO	9.2 	3.7 
A,1M,FAM,ED0-2,Y16-24,M,PC,RS	17.1 	14.5 
A,1M,FAM,ED0-2,Y16-24,M,PC,SE	17.1 	27.3 
A,1M,FAM,ED0-2,Y16-24,M,PC,SI	21.3 	18.8 
A,1M,FAM,ED0-2,Y16-24,M,PC,SK	11.0 	4.5 
A,1M,FAM,ED0-2,Y16-24,M,PC,TR	: 	14.0 
A,1M,FAM,ED0-2,Y16-24,M,PC,UK	11.9 u	: 
A,1M,FAM,ED0-2,Y16-24,T,PC,AT	19.8 	18.7 
A,1M,FAM,ED0-2,Y16-24,T,PC,BE	6.5 	13.2 
A,1M,FAM,ED0-2,Y16-24,T,PC,BG	19.7 	3.9 
A,1M,FAM,ED0-2,Y16-24,T,PC,CH	15.3 	25.0 
A,1M,FAM,ED0-2,Y16-24,T,PC,CY	3.1 	1.4 
A,1M,FAM,ED0-2,Y16-24,T,PC,CZ	13.6 	17.1 
A,1M,FAM,ED0-2,Y16-24,T,PC,DE	11.9 	: u
A,1M,FAM,ED0-2,Y16-24,T,PC,DK	22.6 	20.3 
A,1M,FAM,ED0-2,Y16-24,T,PC,EE	26.7 	27.5 
A,1M,FAM,ED0-2,Y16-24,T,PC,EL	5.8 	13.1 
A,1M,FAM,ED0-2,Y16-24,T,PC,ES	10.7 	10.4 
A,1M,FAM,ED0-2,Y16-24,T,PC,EU27_2007	12.6 e	: 
A,1M,FAM,ED0-2,Y16-24,T,PC,EU27_2020	12.2 	13.3 u
A,1M,FAM,ED0-2,Y16-24,T,PC,EU28	12.6 e	: 
A,1M,FAM,ED0-2,Y16-24,T,PC,FI	14.8 	13.9 
A,1M,FAM,ED0-2,Y16-24,T,PC,FR	11.2 	16.1 
A,1M,FAM,ED0-2,Y16-24,T,PC,HR	13.5 	8.6 
A,1M,FAM,ED0-2,Y16-24,T,PC,HU	17.6 	10.9 
