freq,isced11,age,sex,unit,geo\TIME_PERIOD	2013 	2015 	2022 
A,ED0-2,TOTAL,F,PC,AT	: 	: 	87.7 
A,ED0-2,TOTAL,F,PC,BE	: 	: 	87.8 
A,ED0-2,TOTAL,F,PC,BG	: 	: 	94.1 
A,ED0-2,TOTAL,F,PC,CH	: 	: 	94.0 
A,ED0-2,TOTAL,F,PC,CY	: 	: 	95.4 
A,ED0-2,TOTAL,F,PC,CZ	: 	: 	95.1 
A,ED0-2,TOTAL,F,PC,DE	: 	: 	74.6 
A,ED0-2,TOTAL,F,PC,DK	: 	: 	93.7 
A,ED0-2,TOTAL,F,PC,EE	: 	: 	86.3 
A,ED0-2,TOTAL,F,PC,EL	: 	: 	85.0 
A,ED0-2,TOTAL,F,PC,ES	: 	: 	91.6 
A,ED0-2,TOTAL,F,PC,EU27_2020	: 	: 	84.0 u
A,ED0-2,TOTAL,F,PC,FI	: 	: 	94.1 
A,ED0-2,TOTAL,F,PC,FR	: 	: 	86.9 u
A,ED0-2,TOTAL,F,PC,HR	: 	: 	89.1 u
A,ED0-2,TOTAL,F,PC,HU	: 	: 	93.9 u
A,ED0-2,TOTAL,F,PC,IE	: 	: 	93.5 u
A,ED0-2,TOTAL,F,PC,IT	: 	: 	79.0 
A,ED0-2,TOTAL,F,PC,LT	: 	: 	94.7 u
A,ED0-2,TOTAL,F,PC,LU	: 	: 	95.9 
A,ED0-2,TOTAL,F,PC,LV	: 	: 	81.7 u
A,ED0-2,TOTAL,F,PC,ME	: 	: 	80.1 
A,ED0-2,TOTAL,F,PC,MT	: 	: 	93.0 
A,ED0-2,TOTAL,F,PC,NL	: 	: 	95.6 
A,ED0-2,TOTAL,F,PC,NO	: 	: 	96.5 
A,ED0-2,TOTAL,F,PC,PL	: 	: 	92.8 u
A,ED0-2,TOTAL,F,PC,PT	: 	: 	94.9 u
A,ED0-2,TOTAL,F,PC,RO	: 	: 	68.0 
A,ED0-2,TOTAL,F,PC,RS	: 	: 	82.5 
A,ED0-2,TOTAL,F,PC,SE	: 	: 	95.1 
A,ED0-2,TOTAL,F,PC,SI	: 	: 	88.9 
A,ED0-2,TOTAL,F,PC,SK	: 	: 	82.9 
A,ED0-2,TOTAL,F,PC,TR	: 	: 	88.5 
A,ED0-2,TOTAL,M,PC,AT	: 	: 	83.1 
A,ED0-2,TOTAL,M,PC,BE	: 	: 	89.2 
A,ED0-2,TOTAL,M,PC,BG	: 	: 	93.4 
A,ED0-2,TOTAL,M,PC,CH	: 	: 	86.6 
A,ED0-2,TOTAL,M,PC,CY	: 	: 	93.9 
A,ED0-2,TOTAL,M,PC,CZ	: 	: 	94.0 
A,ED0-2,TOTAL,M,PC,DE	: 	: 	70.3 
A,ED0-2,TOTAL,M,PC,DK	: 	: 	91.5 
A,ED0-2,TOTAL,M,PC,EE	: 	: 	87.3 
A,ED0-2,TOTAL,M,PC,EL	: 	: 	84.8 
A,ED0-2,TOTAL,M,PC,ES	: 	: 	91.1 
A,ED0-2,TOTAL,M,PC,EU27_2020	: 	: 	82.3 u
A,ED0-2,TOTAL,M,PC,FI	: 	: 	92.7 
A,ED0-2,TOTAL,M,PC,FR	: 	: 	82.9 u
A,ED0-2,TOTAL,M,PC,HR	: 	: 	87.9 u
A,ED0-2,TOTAL,M,PC,HU	: 	: 	88.8 u
A,ED0-2,TOTAL,M,PC,IE	: 	: 	92.5 u
A,ED0-2,TOTAL,M,PC,IT	: 	: 	78.3 
A,ED0-2,TOTAL,M,PC,LT	: 	: 	91.7 u
A,ED0-2,TOTAL,M,PC,LU	: 	: 	93.1 
A,ED0-2,TOTAL,M,PC,LV	: 	: 	70.4 u
A,ED0-2,TOTAL,M,PC,ME	: 	: 	82.5 
A,ED0-2,TOTAL,M,PC,MT	: 	: 	93.8 
A,ED0-2,TOTAL,M,PC,NL	: 	: 	89.4 
A,ED0-2,TOTAL,M,PC,NO	: 	: 	96.1 
A,ED0-2,TOTAL,M,PC,PL	: 	: 	90.1 u
A,ED0-2,TOTAL,M,PC,PT	: 	: 	96.1 u
A,ED0-2,TOTAL,M,PC,RO	: 	: 	66.4 
A,ED0-2,TOTAL,M,PC,RS	: 	: 	80.7 
A,ED0-2,TOTAL,M,PC,SE	: 	: 	93.8 
A,ED0-2,TOTAL,M,PC,SI	: 	: 	86.4 
A,ED0-2,TOTAL,M,PC,SK	: 	: 	83.2 
A,ED0-2,TOTAL,M,PC,TR	: 	: 	87.4 
A,ED0-2,TOTAL,T,PC,AT	: 	: 	86.1 
A,ED0-2,TOTAL,T,PC,BE	: 	: 	88.4 
A,ED0-2,TOTAL,T,PC,BG	: 	: 	93.8 
A,ED0-2,TOTAL,T,PC,CH	: 	: 	90.6 
A,ED0-2,TOTAL,T,PC,CY	: 	: 	94.7 
A,ED0-2,TOTAL,T,PC,CZ	: 	: 	94.7 
A,ED0-2,TOTAL,T,PC,DE	: 	: 	72.7 
A,ED0-2,TOTAL,T,PC,DK	: 	: 	92.6 
A,ED0-2,TOTAL,T,PC,EE	: 	: 	86.9 
A,ED0-2,TOTAL,T,PC,EL	: 	: 	84.9 
A,ED0-2,TOTAL,T,PC,ES	: 	: 	91.3 
A,ED0-2,TOTAL,T,PC,EU27_2020	: 	: 	83.2 u
A,ED0-2,TOTAL,T,PC,FI	: 	: 	93.4 
A,ED0-2,TOTAL,T,PC,FR	: 	: 	85.3 u
A,ED0-2,TOTAL,T,PC,HR	: 	: 	88.7 u
A,ED0-2,TOTAL,T,PC,HU	: 	: 	92.3 u
A,ED0-2,TOTAL,T,PC,IE	: 	: 	93.0 u
A,ED0-2,TOTAL,T,PC,IT	: 	: 	78.7 
A,ED0-2,TOTAL,T,PC,LT	: 	: 	93.6 u
A,ED0-2,TOTAL,T,PC,LU	: 	: 	94.6 
A,ED0-2,TOTAL,T,PC,LV	: 	: 	77.5 u
A,ED0-2,TOTAL,T,PC,ME	: 	: 	81.1 
A,ED0-2,TOTAL,T,PC,MT	: 	: 	93.4 
A,ED0-2,TOTAL,T,PC,NL	: 	: 	92.8 
A,ED0-2,TOTAL,T,PC,NO	: 	: 	96.3 
A,ED0-2,TOTAL,T,PC,PL	: 	: 	92.0 u
A,ED0-2,TOTAL,T,PC,PT	: 	: 	95.4 u
A,ED0-2,TOTAL,T,PC,RO	: 	: 	67.3 
A,ED0-2,TOTAL,T,PC,RS	: 	: 	81.8 
A,ED0-2,TOTAL,T,PC,SE	: 	: 	94.5 
A,ED0-2,TOTAL,T,PC,SI	: 	: 	88.1 
A,ED0-2,TOTAL,T,PC,SK	: 	: 	83.1 
A,ED0-2,TOTAL,T,PC,TR	: 	: 	88.0 
A,ED0-2,Y16-24,F,PC,AT	99.2 	96.7 	90.8 
A,ED0-2,Y16-24,F,PC,BE	95.7 	91.9 	92.6 
A,ED0-2,Y16-24,F,PC,BG	92.9 	95.0 	96.6 
A,ED0-2,Y16-24,F,PC,CH	100.0 	98.5 	98.9 
A,ED0-2,Y16-24,F,PC,CY	95.9 	94.7 	99.2 
A,ED0-2,Y16-24,F,PC,CZ	97.4 u	98.8 	97.9 
A,ED0-2,Y16-24,F,PC,DE	95.5 	96.6 	81.2 
A,ED0-2,Y16-24,F,PC,DK	98.0 	92.1 u	93.3 
A,ED0-2,Y16-24,F,PC,EE	98.1 	88.8 	90.1 
A,ED0-2,Y16-24,F,PC,EL	90.0 	97.9 	82.5 
A,ED0-2,Y16-24,F,PC,ES	94.6 	97.5 	93.1 
A,ED0-2,Y16-24,F,PC,EU27_2007	94.7 u	95.2 e	: 
A,ED0-2,Y16-24,F,PC,EU27_2020	94.9 u	95.5 e	85.8 u
A,ED0-2,Y16-24,F,PC,EU28	94.7 u	95.3 e	: 
A,ED0-2,Y16-24,F,PC,FI	96.7 	100.0 	95.6 
A,ED0-2,Y16-24,F,PC,FR	95.8 u	95.0 	93.3 u
A,ED0-2,Y16-24,F,PC,HR	91.4 u	98.5 	68.2 u
A,ED0-2,Y16-24,F,PC,HU	97.3 	98.9 	97.3 u
A,ED0-2,Y16-24,F,PC,IE	100.0 u	97.7 u	: u
A,ED0-2,Y16-24,F,PC,IS	95.7 	97.1 	: 
A,ED0-2,Y16-24,F,PC,IT	87.0 u	89.5 	75.9 
A,ED0-2,Y16-24,F,PC,LT	99.1 u	99.6 	92.5 u
A,ED0-2,Y16-24,F,PC,LU	92.7 u	92.6 	97.8 
A,ED0-2,Y16-24,F,PC,LV	91.3 	88.0 	88.1 u
A,ED0-2,Y16-24,F,PC,ME	: 	: 	78.9 
A,ED0-2,Y16-24,F,PC,MK	: u	91.6 	: 
A,ED0-2,Y16-24,F,PC,MT	94.9 u	96.4 	96.4 u
A,ED0-2,Y16-24,F,PC,NL	97.8 	91.2 	100.0 
A,ED0-2,Y16-24,F,PC,NO	96.0 	96.6 	98.5 
A,ED0-2,Y16-24,F,PC,PL	98.1 u	98.9 u	94.5 u
